序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,长川科技,300604,374.0,17.9,13456200988.0,8.13,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,颀中科技,688352,23.49,15.71,1060993094.0,13.21,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,沪硅产业,688126,37.25,14.62,7341370352.0,7.37,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,中芯国际,688981,173.0,13.74,23645910405.0,7.23,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,聚辰股份,688123,217.12,13.27,3922886904.0,12.3,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,中微公司,688012,471.59,11.49,15179037191.000002,3.6,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
7,天孚通信,300394,271.5,10.51,14467440780.0,5.11,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
8,华天科技,002185,23.73,10.01,10507678114.0,13.91,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
9,雅克科技,002409,209.0,10.0,6743197877.0,10.53,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
10,兆易创新,603986,663.49,10.0,38185017353.0,8.84,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
11,深南电路,002916,442.56,10.0,6646520982.0,2.33,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
12,通富微电,002156,72.17,10.0,11338611114.0,10.76,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
13,光迅科技,002281,238.49,10.0,10865104922.0,6.11,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
14,海天瑞声,688787,128.04,9.27,609961124.0,8.03,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
15,迈为股份,300751,278.61,9.2,2921554533.0,5.58,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,华润微,688396,92.7,9.06,3098024421.0,2.62,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
17,仕佳光子,688313,154.56,8.91,3926060193.0,5.95,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
18,国科微,300672,255.4,8.68,2061554286.0000002,3.97,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
19,寒武纪,688256,1535.01,8.59,24579250088.999996,2.63,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
20,中控技术,688777,113.36,8.58,2185549148.0,2.55,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
21,源杰科技,688498,1746.01,7.98,8455214436.999999,4.09,光模块,主力资金介入，量价配合，关注板块联动和持续性
22,格科微,688728,24.14,7.1,2138088616.0,3.68,半导体,主力资金介入，量价配合，关注板块联动和持续性
23,新易盛,300502,545.5,6.78,26100898894.000004,3.92,光模块,主力资金介入，量价配合，关注板块联动和持续性
24,德科立,688205,178.92,6.49,1279776156.0,4.7,光模块,主力资金介入，量价配合，关注板块联动和持续性
25,赛腾股份,603283,72.09,6.33,2203205062.0,8.92,机器人,主力资金介入，量价配合，关注板块联动和持续性
26,飞荣达,300602,46.87,6.11,1192960287.0,6.64,光模块,主力资金介入，量价配合，关注板块联动和持续性
27,胜宏科技,300476,296.7,6.09,10941070455.0,4.41,光模块,主力资金介入，量价配合，关注板块联动和持续性
28,中际旭创,300308,1194.9,5.9,41608727823.0,3.23,光模块,主力资金介入，量价配合，关注板块联动和持续性
29,长芯博创,300548,232.7,5.3,3809055839.0000005,6.25,光模块,主力资金介入，量价配合，关注板块联动和持续性
30,晶盛机电,300316,49.5,4.87,1128136917.0,1.89,新能源,跟随市场节奏，需观察量能确认趋势
31,天准科技,688003,102.87,4.74,572706086.0,2.95,机器人,跟随市场节奏，需观察量能确认趋势
32,机器人,300024,16.66,4.65,1355429163.9999998,5.33,机器人,机器人产业：特斯拉Optimus迭代+国内政策支持，减速器/伺服系统先行受益
33,绿的谐波,688017,408.28,4.42,5452113948.0,7.47,机器人,跟随市场节奏，需观察量能确认趋势
34,奥普特,688686,156.05,4.28,321607793.0,1.72,机器人,跟随市场节奏，需观察量能确认趋势
35,宁德时代,300750,375.5,4.02,13905775670.0,0.89,新能源,跟随市场节奏，需观察量能确认趋势
36,凌云光,688400,56.05,3.22,854278211.0,3.39,机器人,跟随市场节奏，需观察量能确认趋势
37,TCL中环,002129,11.03,3.18,3627748813.0,8.24,新能源,跟随市场节奏，需观察量能确认趋势
38,江苏北人,688218,47.47,2.75,149492911.0,2.79,机器人,跟随市场节奏，需观察量能确认趋势
39,晶科能源,688223,4.29,2.14,458547179.00000006,1.06,新能源,跟随市场节奏，需观察量能确认趋势
40,步科股份,688160,115.52,1.83,341466498.99999994,3.3,机器人,跟随市场节奏，需观察量能确认趋势
41,汇川技术,300124,64.32,1.77,2384281763.0,1.56,机器人,跟随市场节奏，需观察量能确认趋势
42,汉宇集团,300403,9.88,1.75,153832518.0,3.71,机器人,跟随市场节奏，需观察量能确认趋势
43,捷佳伟创,300724,63.99,1.57,744481068.0,4.11,新能源,跟随市场节奏，需观察量能确认趋势
44,亿纬锂能,300014,56.89,1.44,3033541359.0,2.58,新能源,跟随市场节奏，需观察量能确认趋势
45,盛弘股份,300693,40.31,1.36,527012711.0,4.95,新能源,跟随市场节奏，需观察量能确认趋势
46,天奈科技,688116,37.94,1.17,272007998.0,2.0,新能源,跟随市场节奏，需观察量能确认趋势
