序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,源杰科技,688498,1798.9,13.12,10147250886.0,4.87,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,新易盛,300502,568.82,10.99,35430385574.0,5.17,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,福斯特,603806,14.91,10.04,413917279.0,1.07,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,沪电股份,002463,137.13,10.0,12553796133.0,4.89,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,仕佳光子,688313,151.9,8.81,3557871508.0,5.38,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,康龙化成,300759,36.93,8.36,4403128114.0,8.87,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,光迅科技,002281,232.95,7.85,11332425117.0,6.45,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,聚辰股份,688123,197.93,6.99,2214641629.0,7.27,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,思瑞浦,688536,312.64,6.95,1612959655.0,3.89,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,太辰光,300570,203.88,6.91,3157342631.0,8.43,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
11,中际旭创,300308,1184.05,6.86,46249945646.0,3.61,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
12,华天科技,002185,25.68,6.42,21083239147.0,25.25,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
13,德科立,688205,169.2,6.42,1153188311.0,4.44,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
14,胜宏科技,300476,290.28,6.33,11712336981.0,4.77,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
15,光库科技,300620,287.78,6.29,3363555486.0,4.92,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,泰格医药,300347,48.7,6.08,1296048545.0,4.86,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
17,药明康德,603259,127.51,6.05,9326276586.0,3.04,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
18,兆易创新,603986,583.99,6.03,38337659763.0,10.16,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
19,腾景科技,688195,155.53,5.84,980126240.0,3.6,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
20,通富微电,002156,77.87,5.84,17825215553.0,16.01,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
21,佰维存储,688525,358.37,5.56,11442818342.0,7.03,半导体,半导体产业链：国产替代+AI芯片双轮驱动，关注设备/材料国产化率提升
22,固德威,688390,71.71,5.32,536308291.0,3.1,新能源,主力资金介入，量价配合，关注板块联动和持续性
23,新洁能,605111,70.16,4.27,1614875474.0,5.66,半导体,跟随市场节奏，需观察量能确认趋势
24,深南电路,002916,408.99,3.91,8675786324.0,3.3,半导体,跟随市场节奏，需观察量能确认趋势
25,凌云光,688400,51.9,3.74,595056186.0,2.55,机器人,跟随市场节奏，需观察量能确认趋势
26,比亚迪,002594,90.18,3.68,4883296438.0,1.57,新能源,跟随市场节奏，需观察量能确认趋势
27,天准科技,688003,90.33,3.25,474798283.0,2.74,机器人,跟随市场节奏，需观察量能确认趋势
28,长川科技,300604,335.62,3.19,11101954879.0,6.88,半导体,跟随市场节奏，需观察量能确认趋势
29,拓斯达,300607,36.46,2.97,1080929428.0,8.87,机器人,跟随市场节奏，需观察量能确认趋势
30,璞泰来,603659,23.9,2.97,716264798.0,1.43,新能源,跟随市场节奏，需观察量能确认趋势
31,博实股份,002698,12.15,2.79,172933970.99999997,1.7,机器人,跟随市场节奏，需观察量能确认趋势
32,赣锋锂业,002460,52.55,2.78,2114595429.0,3.39,新能源,跟随市场节奏，需观察量能确认趋势
33,绿的谐波,688017,386.87,1.94,4342015784.0,6.23,机器人,跟随市场节奏，需观察量能确认趋势
34,禾川科技,688320,32.03,1.84,183315853.0,3.83,机器人,跟随市场节奏，需观察量能确认趋势
35,锦浪科技,300763,62.81,1.82,615788395.0,3.08,新能源,跟随市场节奏，需观察量能确认趋势
36,寒武纪,688256,1411.0,1.51,18832581270.0,2.17,半导体,跟随市场节奏，需观察量能确认趋势
37,国科微,300672,210.08,1.51,2166783476.0,4.96,半导体,跟随市场节奏，需观察量能确认趋势
38,宁德时代,300750,364.01,1.38,15701875682.000002,1.02,新能源,跟随市场节奏，需观察量能确认趋势
39,国电南瑞,600406,21.99,1.34,928456199.0,0.53,新能源,跟随市场节奏，需观察量能确认趋势
40,亿纬锂能,300014,52.26,1.01,2404995449.0,2.21,新能源,跟随市场节奏，需观察量能确认趋势
