序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,康龙化成,300759,40.3,9.13,6420926376.0,11.4,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
2,绿盟科技,300369,7.48,7.63,892707568.9999999,14.74,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,泸州老窖,000568,83.12,7.04,2165934497.0,1.81,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,泰格医药,300347,51.9,6.57,2071763584.0,7.07,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
5,埃斯顿,002747,40.9,6.51,4627417777.0,14.7,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,金山办公,688111,236.71,6.32,3076761120.0,2.83,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,江苏北人,688218,45.69,5.89,239919873.0,4.44,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,爱尔眼科,300015,8.88,5.71,1687074511.0,2.42,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,美迪西,688202,87.35,4.99,1454653333.0,12.05,全市场热门,跟随市场节奏，需观察量能确认趋势
10,恒瑞医药,600276,57.5,4.89,10991590777.0,3.04,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
11,国轩高科,002074,26.25,4.79,1282609921.0,2.81,全市场热门,跟随市场节奏，需观察量能确认趋势
12,迈瑞医疗,300760,146.0,4.32,2767272549.0,1.58,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
13,洋河股份,002304,39.69,4.23,503242455.0,0.85,全市场热门,跟随市场节奏，需观察量能确认趋势
14,五 粮 液,000858,76.4,4.09,4805702854.0,1.64,全市场热门,跟随市场节奏，需观察量能确认趋势
15,康泰生物,300601,12.67,3.77,387687089.0,3.43,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
16,智飞生物,300122,12.48,3.48,512241402.0,2.91,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
17,新时达,002527,10.96,3.3,184916332.0,3.21,机器人,跟随市场节奏，需观察量能确认趋势
18,复星医药,600196,24.84,3.28,1471871947.0,2.82,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
19,药明康德,603259,131.5,3.13,15180998366.0,4.65,全市场热门,跟随市场节奏，需观察量能确认趋势
20,同花顺,300033,224.3,3.04,4392805996.0,4.47,全市场热门,跟随市场节奏，需观察量能确认趋势
21,贵州茅台,600519,1251.06,2.98,8922861367.0,0.58,全市场热门,跟随市场节奏，需观察量能确认趋势
22,步科股份,688160,113.88,2.68,375568651.0,3.68,机器人,跟随市场节奏，需观察量能确认趋势
23,宁德时代,300750,373.0,2.47,13440215221.0,0.84,新能源,跟随市场节奏，需观察量能确认趋势
24,隆基绿能,601012,12.0,2.3,1764738187.0,1.95,新能源,跟随市场节奏，需观察量能确认趋势
25,巨星科技,002444,29.15,2.28,479763697.0,1.45,机器人,跟随市场节奏，需观察量能确认趋势
26,中孚信息,300659,9.42,1.95,55195132.0,3.09,光模块,跟随市场节奏，需观察量能确认趋势
27,比亚迪,002594,91.76,1.75,4733650609.0,1.47,新能源,跟随市场节奏，需观察量能确认趋势
28,晶科能源,688223,4.15,1.72,396395954.0,0.93,新能源,跟随市场节奏，需观察量能确认趋势
29,晶澳科技,002459,7.18,1.41,298730304.0,1.26,新能源,跟随市场节奏，需观察量能确认趋势
30,天合光能,688599,12.26,1.41,329569145.99999994,1.15,新能源,跟随市场节奏，需观察量能确认趋势
31,通威股份,600438,10.8,1.12,594663739.0,1.22,新能源,跟随市场节奏，需观察量能确认趋势
