序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,华天科技,002185,21.93,9.98,11999102685.0,16.93,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,TCL中环,002129,11.02,9.98,3797452155.0,8.74,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,芯海科技,688595,41.96,7.1,543349740.0,8.91,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,埃斯顿,002747,49.0,6.45,8304435304.0,22.49,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,光迅科技,002281,221.67,6.05,10238875035.0,6.03,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,传音控股,688036,63.78,5.25,2146973488.0,2.9,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,容百科技,688005,28.56,5.08,994072296.0000001,4.71,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,恒玄科技,688608,115.96,4.85,809400781.0,2.94,全市场热门,跟随市场节奏，需观察量能确认趋势
9,沪硅产业,688126,36.28,4.83,6761959483.0,6.52,全市场热门,跟随市场节奏，需观察量能确认趋势
10,源杰科技,688498,1715.04,4.58,8198050608.0,4.02,全市场热门,跟随市场节奏，需观察量能确认趋势
11,五矿新能,688779,8.37,4.1,542644899.0,3.29,全市场热门,新能源：光伏装机超预期+锂电排产回暖，关注新技术路线(固态/钠电)
12,晶盛机电,300316,50.05,3.84,1616920706.0,2.67,全市场热门,跟随市场节奏，需观察量能确认趋势
13,安路科技,688107,43.5,3.5,591765795.0,3.39,全市场热门,跟随市场节奏，需观察量能确认趋势
14,全志科技,300458,38.3,3.18,2566297813.0,8.13,全市场热门,跟随市场节奏，需观察量能确认趋势
15,格科微,688728,22.16,3.07,1664851121.0,2.97,全市场热门,跟随市场节奏，需观察量能确认趋势
16,通富微电,002156,68.21,3.07,8575725760.0,8.31,全市场热门,跟随市场节奏，需观察量能确认趋势
17,芯源微,688037,382.0,3.03,2931156816.0,3.8,全市场热门,跟随市场节奏，需观察量能确认趋势
18,天孚通信,300394,244.09,2.99,10210084576.0,3.9,全市场热门,跟随市场节奏，需观察量能确认趋势
19,扬杰科技,300373,134.9,2.63,3476748339.9999995,4.79,全市场热门,跟随市场节奏，需观察量能确认趋势
20,三安光电,600703,17.78,2.48,5748411800.000001,6.53,全市场热门,跟随市场节奏，需观察量能确认趋势
21,绿的谐波,688017,465.07,2.44,8755760597.0,10.35,机器人,跟随市场节奏，需观察量能确认趋势
22,德科立,688205,173.52,2.11,1220719998.0,4.43,光模块,跟随市场节奏，需观察量能确认趋势
23,中际旭创,300308,1121.9,2.09,32709219195.0,2.64,光模块,跟随市场节奏，需观察量能确认趋势
24,芯原股份,688521,305.26,1.96,6912123231.0,4.22,半导体,跟随市场节奏，需观察量能确认趋势
25,迈为股份,300751,261.0,1.86,1902542802.0,3.78,新能源,跟随市场节奏，需观察量能确认趋势
26,璞泰来,603659,27.42,1.41,760905984.0,1.29,新能源,跟随市场节奏，需观察量能确认趋势
27,星源材质,300568,20.35,1.09,2248714598.0,8.96,新能源,跟随市场节奏，需观察量能确认趋势
