序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,美迪西,688202,87.0,12.77,1022123038.0,8.87,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,中科星图,688568,41.95,9.59,1377427179.0,4.1,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,康龙化成,300759,33.94,9.55,3394611018.0,7.2,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,泰格医药,300347,47.27,8.79,1574220805.9999998,6.01,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
5,*ST闻泰,600745,20.84,7.92,2294426650.0,8.95,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,智飞生物,300122,12.17,7.04,527940978.00000006,3.12,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
7,三角防务,300775,22.25,6.92,756582872.0000001,6.39,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,华天科技,002185,25.31,6.66,12764273172.0,14.89,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,唯捷创芯,688153,33.88,6.17,522578979.00000006,3.78,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,歌尔股份,002241,22.57,5.62,5133046379.0,7.17,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
11,航宇科技,688239,55.4,5.16,839702758.9999999,7.84,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
12,长盈精密,300115,29.88,4.95,2283228540.0,5.57,全市场热门,跟随市场节奏，需观察量能确认趋势
13,东方日升,300118,10.98,4.67,754040142.0,7.33,全市场热门,跟随市场节奏，需观察量能确认趋势
14,君实生物-U,688180,37.6,4.44,903731488.0,3.16,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
15,泸州老窖,000568,78.18,4.37,1523502862.0,1.35,全市场热门,跟随市场节奏，需观察量能确认趋势
16,康泰生物,300601,11.85,4.31,262499698.0,2.48,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
17,北汽蓝谷,600733,4.83,4.09,630973571.0,2.35,全市场热门,跟随市场节奏，需观察量能确认趋势
18,步科股份,688160,120.12,3.98,572333610.0,5.11,全市场热门,跟随市场节奏，需观察量能确认趋势
19,五 粮 液,000858,73.69,3.94,4085872493.0000005,1.44,全市场热门,跟随市场节奏，需观察量能确认趋势
20,深信服,300454,111.24,3.69,2704382994.0,8.39,全市场热门,跟随市场节奏，需观察量能确认趋势
21,比亚迪,002594,90.0,3.6,6283278804.0,2.03,新能源,跟随市场节奏，需观察量能确认趋势
22,开普云,688228,76.31,3.51,175748305.0,3.38,光模块,跟随市场节奏，需观察量能确认趋势
23,天合光能,688599,12.98,3.43,526400013.00000006,1.73,新能源,跟随市场节奏，需观察量能确认趋势
24,埃斯顿,002747,42.78,3.01,6376657799.0,19.3,机器人,跟随市场节奏，需观察量能确认趋势
25,通威股份,600438,11.36,2.43,858417153.0,1.67,新能源,跟随市场节奏，需观察量能确认趋势
26,隆基绿能,601012,12.11,2.37,1668151007.9999998,1.82,新能源,跟随市场节奏，需观察量能确认趋势
27,晶科能源,688223,4.39,2.33,645156863.0,1.42,新能源,跟随市场节奏，需观察量能确认趋势
28,复旦微电,688385,74.0,2.28,4137945418.0,10.26,半导体,跟随市场节奏，需观察量能确认趋势
29,博实股份,002698,12.49,2.04,255869411.0,2.41,机器人,跟随市场节奏，需观察量能确认趋势
30,卓胜微,300782,94.69,2.0,2789560493.0,6.45,半导体,跟随市场节奏，需观察量能确认趋势
31,中孚信息,300659,9.65,1.79,72730247.0,3.97,光模块,跟随市场节奏，需观察量能确认趋势
32,国电南瑞,600406,22.04,1.66,1546334061.0,0.88,新能源,跟随市场节奏，需观察量能确认趋势
33,华昌达,300278,3.81,1.6,110161890.0,2.03,机器人,跟随市场节奏，需观察量能确认趋势
34,晶澳科技,002459,7.61,1.47,424450691.0,1.68,新能源,跟随市场节奏，需观察量能确认趋势
