序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,盛弘股份,300693,43.59,12.2,1402159497.0,12.18,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,华中数控,300161,31.9,11.27,433362770.0,7.14,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,思瑞浦,688536,265.06,6.88,1027704250.0,2.89,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,绿盟科技,300369,8.01,6.66,766650437.0,11.86,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,圣邦股份,300661,117.55,6.6,1540205770.0,2.22,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,阳光电源,300274,120.98,6.39,7608908095.0,4.04,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,江苏北人,688218,42.95,5.63,123676557.0,2.55,机器人,主力资金介入，量价配合，关注板块联动和持续性
8,深南电路,002916,392.5,5.4,3292413798.0,1.3,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,恒玄科技,688608,116.09,5.2,555307150.0,2.07,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,国民技术,300077,20.08,4.75,616063101.0,5.59,全市场热门,跟随市场节奏，需观察量能确认趋势
11,康龙化成,300759,49.17,4.55,4110382136.0,6.01,全市场热门,跟随市场节奏，需观察量能确认趋势
12,TCL中环,002129,9.32,4.48,1488759652.0,3.98,全市场热门,跟随市场节奏，需观察量能确认趋势
13,扬杰科技,300373,97.73,3.85,1055099857.0,2.02,全市场热门,跟随市场节奏，需观察量能确认趋势
14,美迪西,688202,106.97,3.75,1022120703.0000001,7.16,全市场热门,跟随市场节奏，需观察量能确认趋势
15,新易盛,300502,414.4,3.7,15333357614.0,2.97,全市场热门,跟随市场节奏，需观察量能确认趋势
16,三花智控,002050,39.9,3.56,1987513150.0,1.38,全市场热门,跟随市场节奏，需观察量能确认趋势
17,奇安信-U,688561,27.68,3.55,270652272.0,1.44,全市场热门,跟随市场节奏，需观察量能确认趋势
18,绿的谐波,688017,345.03,3.34,1940187076.0,3.15,全市场热门,跟随市场节奏，需观察量能确认趋势
19,晶盛机电,300316,42.93,3.05,378007517.0,0.73,全市场热门,跟随市场节奏，需观察量能确认趋势
20,新洁能,605111,57.36,3.02,768968467.0,3.24,全市场热门,跟随市场节奏，需观察量能确认趋势
21,恒瑞医药,600276,55.75,2.9,4783626887.0,1.36,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
22,中际旭创,300308,888.3,2.74,23539245779.0,2.41,光模块,跟随市场节奏，需观察量能确认趋势
23,雷赛智能,002979,60.46,2.74,523421573.99999994,3.99,机器人,跟随市场节奏，需观察量能确认趋势
24,拓斯达,300607,33.7,2.65,510095208.0,4.57,机器人,跟随市场节奏，需观察量能确认趋势
25,长芯博创,300548,175.52,2.55,1718793574.0,3.37,光模块,跟随市场节奏，需观察量能确认趋势
26,全志科技,300458,34.79,2.35,1274101078.0,4.57,半导体,跟随市场节奏，需观察量能确认趋势
27,锦浪科技,300763,63.51,2.27,590908441.0,2.9,新能源,跟随市场节奏，需观察量能确认趋势
28,佰维存储,688525,247.37,2.22,5567975475.0,4.8,半导体,半导体产业链：国产替代+AI芯片双轮驱动，关注设备/材料国产化率提升
29,埃斯顿,002747,35.32,1.99,1366007538.0,5.03,机器人,跟随市场节奏，需观察量能确认趋势
30,飞荣达,300602,36.86,1.82,478802434.99999994,3.23,光模块,跟随市场节奏，需观察量能确认趋势
31,步科股份,688160,112.17,1.82,107528613.0,1.08,机器人,跟随市场节奏，需观察量能确认趋势
32,亿纬锂能,300014,56.18,1.74,2191868958.0,1.85,新能源,跟随市场节奏，需观察量能确认趋势
33,光迅科技,002281,181.2,1.63,6485217405.0,4.62,光模块,跟随市场节奏，需观察量能确认趋势
34,上能电气,300827,26.04,1.28,332275121.0,2.93,新能源,跟随市场节奏，需观察量能确认趋势
35,开普云,688228,74.98,1.24,73174310.0,1.46,光模块,跟随市场节奏，需观察量能确认趋势
36,天孚通信,300394,225.47,1.09,5429421557.0,2.24,光模块,跟随市场节奏，需观察量能确认趋势
37,固德威,688390,68.01,1.05,417414991.0,2.54,新能源,跟随市场节奏，需观察量能确认趋势
