序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,绿盟科技,300369,6.48,20.0,539650857.0,11.02,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,深信服,300454,106.56,20.0,2653158566.0,9.11,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,奇安信-U,688561,25.6,11.3,418279994.0,2.5,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,晶丰明源,688368,198.57,10.51,1055915122.0,4.38,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,精测电子,300567,297.1,10.45,3477627100.0,5.32,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,芯源微,688037,406.0,6.28,3371107087.0,4.17,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,启明星辰,002439,13.3,5.98,601123982.0,6.33,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,金山办公,688111,217.88,5.79,2397525079.0,2.4,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,长芯博创,300548,220.99,4.79,3552660069.0,5.94,全市场热门,跟随市场节奏，需观察量能确认趋势
10,中芯国际,688981,152.1,4.59,15091486397.0,5.0,全市场热门,跟随市场节奏，需观察量能确认趋势
11,长川科技,300604,317.22,4.24,9707940985.0,6.36,全市场热门,跟随市场节奏，需观察量能确认趋势
12,德赛西威,002920,86.15,3.91,1143752245.0,2.26,全市场热门,跟随市场节奏，需观察量能确认趋势
13,全志科技,300458,39.76,3.81,4120306855.0,12.66,全市场热门,跟随市场节奏，需观察量能确认趋势
14,工业富联,601138,66.01,3.5,11892708830.0,0.91,全市场热门,跟随市场节奏，需观察量能确认趋势
15,*ST闻泰,600745,18.53,3.4,1511949419.0,6.63,全市场热门,跟随市场节奏，需观察量能确认趋势
16,复旦微电,688385,68.7,3.31,3419461007.0,8.87,全市场热门,跟随市场节奏，需观察量能确认趋势
17,中孚信息,300659,9.53,3.03,67533562.0,3.8,光模块,跟随市场节奏，需观察量能确认趋势
18,万兴科技,300624,48.9,2.77,390794376.0,4.72,全市场热门,跟随市场节奏，需观察量能确认趋势
19,虹软科技,688088,34.78,2.6,222072868.00000003,1.61,全市场热门,跟随市场节奏，需观察量能确认趋势
20,光库科技,300620,304.58,2.57,4565581890.0,6.03,全市场热门,跟随市场节奏，需观察量能确认趋势
21,海天瑞声,688787,117.18,2.57,316256095.0,4.48,全市场热门,跟随市场节奏，需观察量能确认趋势
22,菲菱科思,301191,127.9,2.32,1793796738.0,18.84,光模块,跟随市场节奏，需观察量能确认趋势
23,雅克科技,002409,190.0,2.25,6357290635.0,10.65,半导体,跟随市场节奏，需观察量能确认趋势
24,捷捷微电,300623,39.05,1.91,1951046059.0,6.56,半导体,跟随市场节奏，需观察量能确认趋势
25,寒武纪,688256,1413.55,1.84,16775188063.999998,1.87,半导体,跟随市场节奏，需观察量能确认趋势
26,紫光国微,002049,83.51,1.84,4616251411.0,6.49,半导体,跟随市场节奏，需观察量能确认趋势
27,瑞可达,688800,80.86,1.84,874116336.0,3.77,光模块,跟随市场节奏，需观察量能确认趋势
28,比亚迪,002594,87.8,1.79,3527472657.0,1.16,新能源,跟随市场节奏，需观察量能确认趋势
29,格科微,688728,22.54,1.71,1621553225.0,2.86,半导体,跟随市场节奏，需观察量能确认趋势
30,开普云,688228,72.74,1.2,112263460.0,2.3,光模块,跟随市场节奏，需观察量能确认趋势
31,英维克,002837,72.12,1.16,3973570319.0,4.81,光模块,跟随市场节奏，需观察量能确认趋势
